dataset,missing_rate,method,rmse,mae,n_points
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.4,Mean,112838089.78184022,70275295.7310056,120
esmond data perfsonar-sonda.rediris.es to psmp-gn-bw-lis-pt.geant.org 10-24-2023,0.4,LOCF,199474461.4708903,98068146.35,120
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.1,SVD_KNN,63665546.659753546,39485776.68390533,105
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.1,SVD_KNN_Hankel,61187514.80462378,34406991.10942472,105
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.1,Kalman,179849250.0724787,85733510.45131296,105
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.1,ARIMA,63701485.69929961,46416232.76715339,105
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.1,HoltWinters,63969753.77152172,44116178.06271177,105
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.1,Linear,80146194.85470355,49974026.46955128,105
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.1,KNN_Sklearn,59562692.18182528,43684194.190239854,105
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.1,Spline,115292569.94871967,80585882.56250657,105
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.1,Mean,59562692.18182528,43684194.190239854,105
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.1,LOCF,95408599.91281691,51973283.240384616,105
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.2,SVD_KNN,77665106.05032985,41790338.91016445,208
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.2,SVD_KNN_Hankel,76893753.53863066,38752645.11297547,208
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.2,Kalman,159982002.04396173,92732404.810017,208
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.2,ARIMA,81003781.00452961,51198590.56095408,208
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.2,HoltWinters,76555524.95011212,47557678.428757966,208
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.2,Linear,91779629.73343398,56021466.33816425,208
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.2,KNN_Sklearn,73709097.14612365,47630898.16196132,208
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.2,Spline,124460557.95943987,82571062.46744919,208
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.2,Mean,73709097.14612365,47630898.16196132,208
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.2,LOCF,103902195.27109255,56558051.73913044,208
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.3,SVD_KNN,71867712.85284749,39546588.09185315,311
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.3,SVD_KNN_Hankel,71770773.26188365,35872836.99015954,311
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.3,Kalman,160039425.91946608,94769097.14091608,311
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.3,ARIMA,77734693.69013587,50220273.74828845,311
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.3,HoltWinters,72514981.60717848,47269265.80876119,311
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.3,Linear,88074574.35580876,54270965.06124424,311
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.3,KNN_Sklearn,69020110.06656563,45755125.806202106,311
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.3,Spline,119014392.49019693,77974624.3121257,311
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.3,Mean,69020110.06656563,45755125.806202106,311
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.3,LOCF,104200005.200797,58490196.86451613,311
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.4,SVD_KNN,80138158.77178404,42795235.7908297,415
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.4,SVD_KNN_Hankel,80180595.64164864,39948838.155344404,415
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.4,Kalman,158921530.75321174,96953307.16394706,415
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.4,ARIMA,93093549.3829922,54813383.55920203,415
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.4,HoltWinters,96988579.02145304,60316060.8590971,415
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.4,Linear,94561175.7294248,57320984.92961813,415
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.4,KNN_Sklearn,76052112.55202058,48095431.44433535,415
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.4,Spline,123146164.2519734,79037164.58377264,415
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.4,Mean,76052112.55202058,48095431.44433535,415
esmond data perfsonar.restena.lu to psmp-gn-bw-lis-pt.geant.org 10-23-2023,0.4,LOCF,110606592.7859948,63260541.0,415
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023,0.1,SVD_KNN,320916690.83075243,171390735.86969846,88
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023,0.1,SVD_KNN_Hankel,118406369.08734967,79438200.05620094,88
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023,0.1,Kalman,170728412.67567953,110951510.01279475,88
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023,0.1,ARIMA,95875946.73569648,64740324.888940744,88
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023,0.1,HoltWinters,99390848.85271303,72530668.44053808,88
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023,0.1,Linear,105169252.78678194,67880252.46553029,88
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023,0.1,KNN_Sklearn,276426314.0308834,176223928.06789634,88
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023,0.1,Spline,136796862.30587506,95375705.24492194,88
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023,0.1,Mean,276426314.0308834,176223928.06789634,88
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023,0.1,LOCF,103611882.11783978,61802243.28409091,88
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023,0.2,SVD_KNN,333832977.6386778,185956769.5081147,177
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023,0.2,SVD_KNN_Hankel,166119637.1814529,94882470.58003074,177
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023,0.2,Kalman,207301776.40817273,136858396.28698424,177
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023,0.2,ARIMA,121441775.7737275,74396489.46000187,177
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023,0.2,HoltWinters,135451255.85114577,90620480.93044816,177
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023,0.2,Linear,125972011.36976926,77993268.4472693,177
esmond data psmall.lut.ac.uk to psmp-gn-bw-vie-at.geant.org 10-24-2023,0.2,KNN_Sklearn,301042898.8578438,191663832.69049615,177
