file_imputed,file_original,len_imputed,len_original,dtw_distance,normalized_dtw,trend_correlation,trend_dtw,seasonality_period_orig,seasonality_period_imp,seasonality_period_diff,seasonality_strength_orig,seasonality_strength_imp,seasonality_strength_diff,spectral_similarity,acf_similarity,overall_score
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_mr20_LOCF.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,537,537,52323895132.300026,97437421.10297957,-0.23238385051883928,127803022.84171245,107,63.0,44.0,0.1162079031088894,0.10977705587044166,0.006430847238447737,0.9992420656065392,0.77234107713344,0.5130664307403799
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_mr30_LOCF.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,537,537,54703924431.216675,101869505.45850405,-0.2341682917873067,128131807.87867762,107,5.0,102.0,0.1162079031088894,0.1258192947144979,0.009611391605608505,0.9993077409684231,0.7727598389037678,0.5126330960282948
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_mr10_Linear.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,537,537,53773910294.24444,100137635.55725221,-0.21957844517823452,129127406.89095189,107,78.0,29.0,0.1162079031088894,0.10826018108731807,0.007947722021571332,0.999247808155217,0.7553253521555903,0.5116649050441909
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_mr30_SVD_KNN.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,537,537,56303119897.67899,104847523.0869255,-0.20852952995962393,131405752.63273682,107,2.0,105.0,0.1162079031088894,0.1792663443318475,0.06305844122295809,0.9993304423877737,0.7287822508881664,0.5065277211054388
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_mr10_Spline.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,537,537,54760618501.241486,101975081.00789848,-0.23455338581267968,128238149.48466623,107,39.0,68.0,0.1162079031088894,0.10175684428765344,0.014451058821235957,0.9991501351737171,0.7509697913156248,0.5051888468922208
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_mr30_SVD_KNN_Hankel.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,537,537,58480916350.0225,108903009.96279795,-0.20041241416630026,133929535.37948091,107,2.0,105.0,0.1162079031088894,0.1202707566809911,0.0040628535721017045,0.9993517509384546,0.7121735079549015,0.5037042815756853
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_mr10_KNN_Sklearn.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,537,537,54124956140.058075,100791352.21612304,-0.22752573884546584,129780692.54523575,107,,,0.1162079031088894,,,0.9992995049523006,0.7381567086995803,0.503310158268805
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_mr10_Mean.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,537,537,54124956140.058075,100791352.21612304,-0.22752573884546584,129780692.54523575,107,,,0.1162079031088894,,,0.9992995049523006,0.7381567086995803,0.503310158268805
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_mr20_KNN_Sklearn.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,537,537,53874800387.21396,100325512.82535188,-0.20573400898298347,129747799.46372907,107,4.0,103.0,0.1162079031088894,0.10046830335481509,0.01573959975407431,0.99931238005182,0.7145746177105469,0.5027176629264611
esmond data psmp-gn-bw-poz-pl.geant.org to pspmp-anella.csuc.cat 10-24-2023_mr20_Mean.csv,esmond data perfsonar-ankara.ulakbim.gov.tr to psmp-gn-bw-lis-pt.geant.org 10-24-2023_longest.csv,537,537,53874800387.21396,100325512.82535188,-0.20573400898298347,129747799.46372907,107,4.0,103.0,0.1162079031088894,0.10046830335481509,0.01573959975407431,0.99931238005182,0.7145746177105469,0.5027176629264611
